model,MSE,RMSE,MAE,R2,NDCG@5,NDCG@10,NDCG@20
OLS (Baseline),0.06294057687034091,0.25087960632610395,0.19962446736616898,0.8515715494525564,0.9553146470008143,0.9573037924541479,0.9548538942773833
XGBoost (Primary),0.06330147071161281,0.2515978352681374,0.19680464751308654,0.8507204782305298,0.9146068349842705,0.9301204296604643,0.9337167270623495
DNN (Comparison),0.062284049999848316,0.24956772627855614,0.19873064987191996,0.8531197917943881,0.9830419897363192,0.9608316914119585,0.9601917727530498
