Config,R²,Δ R²
Full Model,0.8507204782305298,0.0
w/o Sentiment,0.3554638232140005,-0.49525665501652927
w/o X_sim,0.8497799580283543,-0.0009405202021754988
w/o Cuisine,0.8450884846800042,-0.005631993550525571
